,Class,Color
(,parenthesis,0
),parenthesis,0
{,parenthesis,0
},parenthesis,0
==',operador_booleano,1
>=,operador_booleano,1
<=,operador_booleano,1
>,operador_booleano,1
<,operador_booleano,1
!=,operador_booleano,1
+',operador_aritmetico,2
^,operador_aritmetico,2
*,operador_aritmetico,2
/,operador_aritmetico,2
÷,operador_aritmetico,2
int,tipo,3
float,tipo,3
char,tipo,3
double,tipo,3
const,constante,4
[,array,5
],array,5
function,funcion,6
func,funcion,6
def,funcion,6
=>',lambda,7
lambda,lambda,7
return ,return,8
if,condicional,9
else,condicional,9
elif,condicional,9
else if,condicional,9
elseif,condicional,9
try,errores,10
catch,errores,10
finally,errores,10
;,fin,11
for,loop,12
while,loop,12
foreach,loop,12
forEach,loop,12
do,loop,12
class,class,13
Class,class,13
